1.000000, 30.000000, 5.000000, 0.000000, 0.000000
2.000000, 25.590000, 9.410000, -0.000000, 0.000000
3.000000, 18.510424, 11.489576, 5.000000, 0.000000
4.000000, 12.257723, 13.742277, 8.983000, 0.017000
5.000000, 7.305321, 11.694679, 15.952458, 0.047542
6.000000, 6.929414, 6.070586, 15.627028, 0.101781
7.000000, 6.744326, 2.255674, 15.414500, 0.154912
8.000000, 6.297064, 2.702936, 15.362091, 0.207322
9.000000, 5.796659, -16842748.796659, 16842767.309860, 0.259553
10.000000, 2870376.914504, -19713119.914504, 16785501.901006, 57265.668406
11.000000, 1663574949251.076200, -1663591791994.076200, 16728431.194543, 114336.374870
12.000000, 81364783151330506000000.000000, -81364783151330523000000.000000, 13801183.528481, 171213.040931
13.000000, 29129002923957366000000000000000000000000000.000000, -29129002923957366000000000000000000000000000.000000, 100768588032749.220000, 218137.064928
14.000000, 3733394769913234300000000000000000000000000000000000000000000000000000000000000000000.000000, -3733394769913234300000000000000000000000000000000000000000000000000000000000000000000.000000, 735756343878671270000.000000, 342613417448.412230
15.000000, 409784153335655510000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000, -409784153335655510000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000, 733254772307336360000.000000, 2501571911800899600.000000
16.000000, 1.#INF00, -1.#INF00, 730761706079344000000.000000, 4994638137645843500.000000
17.000000, 1.#INF00, -1.#INF00, 728277116276526810000.000000, 7479227938315613200.000000
18.000000, 1.#INF00, -1.#INF00, 725800974079039110000.000000, 9955370133655803900.000000
19.000000, 1.#INF00, -1.#INF00, 723333250765022950000.000000, 12423093445524537000.000000
20.000000, 1.#INF00, -1.#INF00, 5281378238779988900000000000.000000, 14882426498125615000.000000
21.000000, 1.#INF00, -1.#INF00, 38561694864100661000000000000000000.000000, 17956700894278459000000000.000000
22.000000, 1.#INF00, -1.#INF00, 38430585101562719000000000000000000.000000, 131109780494643140000000000000000.000000
23.000000, 1.#INF00, -1.#INF00, 38299921112217407000000000000000000.000000, 261773769839956390000000000000000.000000
24.000000, 1.#INF00, -1.#INF00, 38169701380435867000000000000000000.000000, 391993501621495590000000000000000.000000
25.000000, 1.#INF00, -1.#INF00, 38039924395742387000000000000000000.000000, 521770486314977530000000000000000.000000
26.000000, 1.#INF00, -1.#INF00, 37910588652796862000000000000000000.000000, 651106229260501630000000000000000.000000
27.000000, 1.#INF00, -1.#INF00, 276802093251569720000000000000000000000000.000000, 780002230680011000000000000000000.000000
28.000000, 1.#INF00, -1.#INF00, 2021055371367811300000000000000000000000000000000.000000, 941127897057567700000000000000000000000.000000
